"","VCMYMD","VCMEquityIdentifier","price","invRank","MARKET_VAL","sector"
"76",19860404,"AAPL        ",0.3938623,24,2151.770128704,"Technology"
"77",19860411,"AAPL        ",0.3975433,22,2171.8800579168,"Technology"
"78",19860418,"AAPL        ",0.4380338,27,2393.09,"Technology"
"79",19860502,"AAPL        ",0.4490765,29,2453.4200579168,"Technology"
"80",19970627,"AAPL        ",0.4737708,1,2362.925128704,"Technology"
"81",19970703,"AAPL        ",0.4415141,1,2202.045064352,"Technology"
"82",19970711,"AAPL        ",0.4898992,2,2443.3650707872,"Technology"
"83",19971212,"AAPL        ",0.4556265,2,2272.430064352,"Technology"
"84",19971219,"AAPL        ",0.4415141,2,2202.045064352,"Technology"
"85",19971226,"AAPL        ",0.4294178,2,2141.7151415744,"Technology"
"86",19971231,"AAPL        ",0.4294178,2,2141.7151415744,"Technology"
"87",19861205,"AFAM        ",6.38261,10,44.015625,"Health Care"
"88",19861212,"AFAM        ",6.38261,12,44.015625,"Health Care"
"89",19861219,"AFAM        ",6.38261,13,44.015625,"Health Care"
"90",19861226,"AFAM        ",6.38261,14,44.015625,"Health Care"
"91",19861231,"AFAM        ",6.38261,14,44.015625,"Health Care"
"92",19870102,"AFAM        ",6.38261,12,44.015625,"Health Care"
"93",19870109,"AFAM        ",7.09179,5,48.90625,"Health Care"
"94",19870116,"AFAM        ",7.942804,6,54.775,"Health Care"
"95",19870123,"AFAM        ",8.651983,11,59.665625,"Health Care"
"96",19870130,"AFAM        ",9.644834,15,66.5125,"Health Care"
"97",19870206,"AFAM        ",9.644834,11,66.5125,"Health Care"
"98",19870213,"AFAM        ",9.644834,11,66.5125,"Health Care"
"99",19870220,"AFAM        ",9.644834,10,66.5125,"Health Care"
"100",19870227,"AFAM        ",9.644834,10,66.5125,"Health Care"
"101",19870306,"AFAM        ",9.644834,9,66.5125,"Health Care"
"102",19870313,"AFAM        ",9.78667,9,67.490625,"Health Care"
"103",19870320,"AFAM        ",10.495849,14,72.38125,"Health Care"
"104",19870327,"AFAM        ",10.495849,16,72.38125,"Health Care"
"105",19870403,"AFAM        ",10.637684,18,73.359375,"Health Care"
"106",19870410,"AFAM        ",10.495849,21,72.38125,"Health Care"
"107",19870416,"AFAM        ",10.637684,24,73.359375,"Health Care"
"108",19870424,"AFAM        ",10.495849,25,72.38125,"Health Care"
"109",19870501,"AFAM        ",9.928505,20,68.46875,"Health Care"
"110",19870508,"AFAM        ",10.495849,25,72.38125,"Health Care"
"111",19870515,"AFAM        ",11.063191,28,76.29375,"Health Care"
"112",19870522,"AFAM        ",10.921356,28,75.315625,"Health Care"
"113",19870529,"AFAM        ",13.332564,30,91.94375,"Health Care"
"114",19870605,"AFAM        ",13.616236,30,93.9,"Health Care"
"115",19870612,"AFAM        ",13.616236,30,93.9,"Health Care"
"116",19870619,"AFAM        ",13.616236,30,93.9,"Health Care"
"117",19870626,"AFAM        ",13.332564,30,91.94375,"Health Care"
"118",19870702,"AFAM        ",13.048893,30,89.9875,"Health Care"
"119",19870710,"AFAM        ",12.907057,29,89.009375,"Health Care"
"120",19870717,"AFAM        ",12.907057,28,89.009375,"Health Care"
"121",19870724,"AFAM        ",13.048893,28,89.9875,"Health Care"
"122",19870731,"AFAM        ",12.765221,26,88.03125,"Health Care"
"123",19870807,"AFAM        ",12.765221,25,88.03125,"Health Care"
"124",19870814,"AFAM        ",12.765221,22,88.03125,"Health Care"
"125",19870821,"AFAM        ",12.197878,13,84.11875,"Health Care"
"126",19870828,"AFAM        ",12.197878,13,84.11875,"Health Care"
"127",19870904,"AFAM        ",12.197878,16,84.11875,"Health Care"
"128",19870911,"AFAM        ",12.197878,14,84.11875,"Health Care"
"129",19870918,"AFAM        ",11.77237,10,81.184375,"Health Care"
"130",19870925,"AFAM        ",11.630535,7,80.20625,"Health Care"
"131",19871002,"AFAM        ",11.630535,6,80.20625,"Health Care"
"132",19871009,"AFAM        ",12.197878,15,84.11875,"Health Care"
"133",19871016,"AFAM        ",12.197878,26,84.11875,"Health Care"
"134",19871023,"AFAM        ",9.644834,19,66.5125,"Health Care"
"135",19871030,"AFAM        ",9.077491,15,62.6,"Health Care"
"136",19871106,"AFAM        ",9.361162,16,64.55625,"Health Care"
"137",19871113,"AFAM        ",9.361162,17,64.55625,"Health Care"
"138",19871120,"AFAM        ",9.077491,15,62.6,"Health Care"
"139",19871127,"AFAM        ",9.077491,14,62.6,"Health Care"
"140",19871204,"AFAM        ",9.78667,26,67.490625,"Health Care"
"141",19871211,"AFAM        ",9.644834,24,66.5125,"Health Care"
"142",19871218,"AFAM        ",11.205028,29,77.271875,"Health Care"
"143",19871224,"AFAM        ",11.205028,29,77.271875,"Health Care"
"144",19871231,"AFAM        ",11.063191,28,76.29375,"Health Care"
"145",19880104,"AFAM        ",11.063191,28,76.29375,"Health Care"
"146",19880108,"AFAM        ",12.197878,30,84.11875,"Health Care"
"147",19880115,"AFAM        ",14.183579,30,97.8125,"Health Care"
"148",19880122,"AFAM        ",13.758072,30,94.878125,"Health Care"
"149",19880129,"AFAM        ",14.183579,30,97.8125,"Health Care"
"150",19880205,"AFAM        ",13.899907,30,95.85625,"Health Care"
"151",19880212,"AFAM        ",14.750922,30,101.725,"Health Care"
"152",19880219,"AFAM        ",14.750922,30,101.725,"Health Care"
"153",19880226,"AFAM        ",15.4601,30,106.615625,"Health Care"
"154",19880304,"AFAM        ",15.4601,30,106.615625,"Health Care"
"155",19880311,"AFAM        ",16.02744,30,110.528125,"Health Care"
"156",19880318,"AFAM        ",16.59479,30,114.440625,"Health Care"
"157",19880325,"AFAM        ",16.59479,30,114.440625,"Health Care"
"158",19880331,"AFAM        ",16.31112,30,112.484375,"Health Care"
"159",19880408,"AFAM        ",16.16928,30,111.50625,"Health Care"
"160",19880415,"AFAM        ",16.16928,30,111.50625,"Health Care"
"161",19880422,"AFAM        ",16.16928,29,111.50625,"Health Care"
"162",19880429,"AFAM        ",16.45295,29,113.4625,"Health Care"
"163",19880506,"AFAM        ",16.45295,29,113.4625,"Health Care"
"164",19880513,"AFAM        ",16.02744,28,110.528125,"Health Care"
"165",19880520,"AFAM        ",15.885609,27,109.55,"Health Care"
"166",19880527,"AFAM        ",15.885609,26,109.55,"Health Care"
"167",19880603,"AFAM        ",15.601937,19,107.59375,"Health Care"
"168",19880610,"AFAM        ",15.318265,10,105.6375,"Health Care"
"169",19880617,"AFAM        ",15.034594,7,103.68125,"Health Care"
"170",19880624,"AFAM        ",15.034594,6,103.68125,"Health Care"
"171",19880701,"AFAM        ",15.034594,4,103.68125,"Health Care"
"172",19880708,"AFAM        ",14.750922,3,101.725,"Health Care"
"173",19880715,"AFAM        ",13.899907,1,95.85625,"Health Care"
"174",19880722,"AFAM        ",13.899907,1,95.85625,"Health Care"
"175",19880729,"AFAM        ",14.041743,1,96.834375,"Health Care"
"176",19880805,"AFAM        ",14.325415,2,98.790625,"Health Care"
"177",19880812,"AFAM        ",14.183579,3,97.8125,"Health Care"
"178",19880819,"AFAM        ",13.899907,3,95.85625,"Health Care"
"179",19880826,"AFAM        ",13.899907,3,95.85625,"Health Care"
"180",19880902,"AFAM        ",14.041743,4,96.834375,"Health Care"
"181",19880909,"AFAM        ",13.899907,3,95.85625,"Health Care"
"182",19880916,"AFAM        ",13.899907,3,95.85625,"Health Care"
"183",19880923,"AFAM        ",13.899907,3,95.85625,"Health Care"
"184",19880930,"AFAM        ",13.899907,4,95.85625,"Health Care"
"185",19881007,"AFAM        ",12.765221,2,88.03125,"Health Care"
"186",19881014,"AFAM        ",12.765221,2,88.03125,"Health Care"
"187",19881021,"AFAM        ",12.907057,2,89.009375,"Health Care"
"188",19881028,"AFAM        ",13.899907,8,95.85625,"Health Care"
"189",19881104,"AFAM        ",13.899907,8,95.85625,"Health Care"
"190",19881111,"AFAM        ",13.899907,12,95.85625,"Health Care"
"191",19881118,"AFAM        ",13.899907,16,95.85625,"Health Care"
"192",19881125,"AFAM        ",13.616236,14,93.9,"Health Care"
"193",19881202,"AFAM        ",13.4744,11,92.921875,"Health Care"
"194",19881209,"AFAM        ",13.616236,13,93.9,"Health Care"
"195",19881216,"AFAM        ",13.332564,10,91.94375,"Health Care"
"196",19881223,"AFAM        ",13.332564,10,91.94375,"Health Care"
"197",19881230,"AFAM        ",13.4744,10,92.921875,"Health Care"
"198",19890106,"AFAM        ",13.048893,4,89.9875,"Health Care"
"199",19890113,"AFAM        ",12.623385,3,87.053125,"Health Care"
"200",19890120,"AFAM        ",12.197878,2,84.11875,"Health Care"
"201",19890127,"AFAM        ",12.197878,2,84.11875,"Health Care"
"202",19890203,"AFAM        ",11.77237,1,81.184375,"Health Care"
"203",19890210,"AFAM        ",11.346863,1,78.25,"Health Care"
"204",19890217,"AFAM        ",11.063191,1,76.29375,"Health Care"
"205",19890224,"AFAM        ",10.212177,1,70.425,"Health Care"
"206",19890303,"AFAM        ",9.928505,1,68.46875,"Health Care"
"207",19890310,"AFAM        ",9.644834,1,66.5125,"Health Care"
"208",19890317,"AFAM        ",9.644834,1,66.5125,"Health Care"
"209",19890323,"AFAM        ",9.361162,1,64.55625,"Health Care"
"210",19890331,"AFAM        ",9.361162,1,64.55625,"Health Care"
"211",19890407,"AFAM        ",9.503,1,65.534375,"Health Care"
"212",19890414,"AFAM        ",9.644834,1,66.5125,"Health Care"
"213",19890421,"AFAM        ",9.361162,1,64.55625,"Health Care"
"214",19890428,"AFAM        ",9.361162,1,64.55625,"Health Care"
"215",19890505,"AFAM        ",8.793819,1,60.64375,"Health Care"
"216",19890512,"AFAM        ",7.942804,1,54.775,"Health Care"
"217",19890519,"AFAM        ",7.942804,1,54.775,"Health Care"
"218",19890526,"AFAM        ",8.084641,1,55.753125,"Health Care"
"219",19890602,"AFAM        ",8.084641,1,55.753125,"Health Care"
"220",19890609,"AFAM        ",8.084641,1,55.753125,"Health Care"
"221",19890616,"AFAM        ",7.659132,1,52.81875,"Health Care"
"222",19890623,"AFAM        ",7.659132,1,52.81875,"Health Care"
"223",19890630,"AFAM        ",7.375461,1,50.8625,"Health Care"
"224",19890707,"AFAM        ",7.375461,1,50.8625,"Health Care"
"225",19890714,"AFAM        ",7.233625,1,49.884375,"Health Care"
"226",19890721,"AFAM        ",7.233625,1,49.884375,"Health Care"
"227",19890728,"AFAM        ",7.375461,1,50.8625,"Health Care"
"228",19890804,"AFAM        ",7.233625,1,49.884375,"Health Care"
"229",19890811,"AFAM        ",7.375461,1,50.8625,"Health Care"
"230",19890818,"AFAM        ",6.880738,1,47.450802504,"Health Care"
"231",19890825,"AFAM        ",6.453528,1,44.5046875,"Health Care"
"232",19890901,"AFAM        ",6.808118,1,46.95,"Health Care"
"233",19890908,"AFAM        ",6.38261,1,44.015625,"Health Care"
"234",19890915,"AFAM        ",6.38261,1,44.015625,"Health Care"
"235",19890922,"AFAM        ",6.38261,1,44.015625,"Health Care"
"236",19890929,"AFAM        ",6.38261,1,44.015625,"Health Care"
